Age,Fare,Embarked,Cabin,Survived,Sex
34.26603911656204,22.723370333838613,Q,E139,0,male
15.440222512633063,37.68968459332114,S,,0,male
40.506316741290405,,S,,0,male
43.167906029476995,16.449437569595204,S,,1,female
2.6855073588462903,,S,,0,female
11.769486903927547,21.02937150944466,Q,A72,0,male
31.789765644341994,56.09987971755429,S,,0,male
25.57260370718985,6.664891332316385,C,B2,0,female
29.764783794939955,6.153363004969639,Q,,0,female
18.057385013969878,34.42491452356037,C,,0,female
42.3115716480796,36.82087907503351,S,E79,0,female
40.88908709600528,17.54422779456661,Q,E141,0,female
30.924429765857024,26.583110752949906,S,,1,female
45.78137689755246,33.8400456706289,S,D193,0,male
36.545130791528635,11.362242033275445,S,B88,0,female
,12.246083082163356,Q,,0,male
35.16251097715498,22.93830740559149,C,B230,1,female
16.575643588394016,37.82091558393847,S,,1,female
42.298304218301816,,Q,B139,0,male
,17.4866312015545,S,,0,male
27.41192691036635,16.92910547056804,C,,0,male
20.46698637834482,26.911975503077816,S,,0,male
47.11557874143642,19.963610493910913,S,D108,0,male
27.83658725103677,13.706655137434929,S,,1,female
24.003410489716497,48.13434937805488,Q,,0,female
25.070130293164787,13.770377993407315,Q,,0,female
37.452328597746884,16.371344924441786,S,,0,female
35.1162169010971,6.592625361607157,S,,0,female
35.778256562343834,12.18812218634126,S,,1,female
36.03149404211036,28.825293649905504,C,,0,male
,25.139023739393636,S,,0,male
24.31018977061538,30.559081036347386,S,C51,0,male
,29.538296272288424,S,,0,male
,86.60866128508937,S,F60,0,female
38.62371191605694,11.899529015289875,Q,D40,0,male
45.80561209809248,6.465002375059299,S,C197,0,male
28.40473559283175,,S,,0,female
18.23780932252461,12.273515320982158,S,D182,0,male
18.457262980322646,10.155050260629572,S,C244,0,female
39.10829902954582,21.446524265747122,S,,0,male
40.40555839684819,48.27232590821496,S,D49,0,female
37.60415975627273,59.01321200229585,C,,1,female
20.68286409795828,28.588826260454855,S,,1,female
33.250258522934075,89.91731724736545,S,,0,male
31.633601327970194,15.65106335060487,S,,0,female
,6.406010373957412,S,F171,0,female
42.20000289127466,41.98131538537262,S,,0,male
33.13033768284555,5.545484127210141,Q,C135,0,male
39.50478988300653,11.840168776309564,S,,0,male
30.94610697284448,28.906849174475894,C,B175,0,male
,18.696436869475015,S,,0,female
38.83803516173957,17.572462850404012,S,,0,female
9.59981852202067,8.78852573588718,S,,0,female
25.52460297099778,19.934229458632426,C,,1,female
23.414782839900862,40.551133856908685,S,F21,0,female
21.05571012459321,20.368254596706187,C,,1,female
26.148008482826427,11.232842846844296,S,,0,female
50.92917835728154,8.387337076777499,C,,0,female
17.878364380294595,11.396243595470207,S,,0,female
43.555896964280734,26.43353916303021,S,,0,male
6.439823197378733,25.5470431930066,C,C47,1,female
25.311609580199153,11.468968875477449,S,F177,0,male
32.278542911470076,,S,C101,0,female
,26.950690931814723,S,,0,male
,10.714573463538848,C,B240,0,female
41.10686129279895,32.53588829453085,C,,0,male
25.117848988521875,11.83100053522321,S,,0,female
23.52707490269606,10.059019376458446,S,B93,0,female
42.01166233760016,22.35880794850829,S,B75,0,male
27.321739451657393,104.62572528486153,S,,1,female
12.140391473269094,33.930726618236974,S,,0,male
14.133979003951271,22.095047965234535,S,,0,male
